DATASET	TOKENIZER	NOISE_TYPE	NOISE_LVL	N_SENTS	MIN_TOKS_PER_SENT	MAX_TPS	MEAN_TPS	STD_TPS	MEAN+STD	MEAN+1.5STD	MEAN+2STD	SAMPLE_SENTENCE
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	12217	1.0	346.0	18.69959891953835	14.053679081362317	32.753278000900664	39.780117541581824	46.80695708226298	Kävel ##yre ##itti III
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	12217	1.0	367.4	19.83624457722845	14.85002162262793	34.68626619985638	42.111277011170344	49.53628782248431	Kävel ##yre ##itti III
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	12217	1.0	402.2	21.307538675615945	15.932442251045808	37.23998092666175	45.20620205218466	53.17242317770756	KY ##ä ##vel ##yre ##itti III
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	12217	0.8	428.2	22.779536711140214	16.97492306958063	39.75445978072084	48.24192131551116	56.72938285030148	Kävel ##yre ##i ##4 ##tti III
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	12217	0.0	448.8	24.25403945322092	18.043012137922382	42.2970515911433	51.31855766010449	60.34006372906568	Kävel ##yre ! t ##ti [UNK]
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	12217	0.2	478.4	25.786625194401246	19.161791110969165	44.948416305370415	54.529311860854996	64.11020741633958	ä ##vel ##yre ##itti [UNK]
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	1364	1.0	251.0	18.65982404692082	14.42546213264246	33.08528617956328	40.29801724588451	47.51074831220574	The Garden Colle ##ction by H & M
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	1364	1.0	270.8	19.82258064516129	15.29199924286319	35.11457988802448	42.76057950945607	50.406579130887664	Th % e Garden Colle ##ction by H & M
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	1364	1.0	293.8	21.332697947214076	16.580997180712327	37.9136951279264	46.20419371828257	54.49469230863873	The Garden Colle ##ction [UNK] [UNK] & M
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	1364	1.2	311.0	22.759090909090908	17.609661428514848	40.368752337605756	49.173583051863176	57.9784137661206	Th Garden olle ##ction b ##x H & M
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	1364	1.2	334.8	24.27184750733138	18.85680234827451	43.128649855605886	52.55705102974314	61.9854522038804	he Gar ##en [UNK] by & M
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	1364	1.2	359.4	25.898387096774194	20.149119639842006	46.0475067366162	56.122066556537206	66.1966263764582	[UNK] [UNK] Col ##C ##ec ##tion [UNK] H & [UNK]
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	15021	1.0	185.0	26.718660541907994	23.50953055094729	50.22819109285528	61.98295636832893	73.73772164380257	nii / sehän / tässä ylis ##e / järven / suv ##ip / pi ##ässä on tut ##a / myll ##y joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	15021	1.0	192.2	27.33437187936888	24.117727302479356	51.45209918184824	63.510962833087916	75.56982648432759	nii / sehän / tässä ylis ##e / järven / suv ##ip / pi ##ässä on [UNK] / myll ##y joka n / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	15021	1.0	199.2	28.13907196591439	24.911475467277807	53.05054743319219	65.5062851668311	77.96202290047	nii / sehän / tässä ylis ##e / järven / suv ##ip / pi ##ässä on ##U tut ##a / my ##äly j ##ka [UNK] / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	15021	1.0	204.6	28.972997803075693	25.743601564210422	54.716599367286115	67.58840014939133	80.46020093149653	nii / sehän / täs ##s yl - is ##e / jä ##ven / suv ##ip / pi ##äs [UNK] ä on tut ##a / my ##8 ##lly joka [UNK] / ra ##k ##K ##nne ##ttu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	15021	1.0	212.2	29.754144198122628	26.503682424731426	56.257826622854054	69.50966783521977	82.76150904758548	ni / [UNK] / [UNK] yl ##E ##se / jä ##ven / suv ##ip / pi ##ässä [UNK] ts ##ta / [UNK] joka on / rakenne ##tt @ na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	15021	1.0	214.4	30.61087810398775	27.273714592978575	57.88459269696632	71.5214499934556	85.1583072899449	[UNK] / sehän / tän ##sä ylis / % är ##ven / " suv ##ip / pi ##ässä n tu = ta / my ##ly j ##To ##ka o / rakennetun ##a . /
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	-	-	12217	1.0	545.0	29.956945240239012	22.675812348815082	52.632757589054094	63.97066376346163	75.30856993786918	K ##ä ##vel ##yre ##itti III
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	12217	1.0	567.4	31.61959564541213	23.81382399733733	55.433419642749456	67.34033164141813	79.2472436400868	K ##ä ##vel ##yre ##itti III
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	12217	1.0	600.0	33.781714005074896	25.332943813463658	59.114657818538554	71.78112972527038	84.4476016320022	K ##ä ##vel ##yre ##א ##itti III
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	12217	0.6	641.6	35.97806335434231	26.866020639855513	62.844083994197824	76.27709431412558	89.71010463405334	K ##ä ##vel ##yre ##iti III
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	12217	0.6	680.2	38.13788982565278	28.436448162331015	66.5743379879838	80.7925620691493	95.0107861503148	K ##ä ##vel ##yre ##i ##ε ##ti II ##è
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	12217	0.6	708.2	40.390063026929695	29.814799151747962	70.20486217867766	85.11226175455164	100.01966133042562	K ##ä ##vel ##yre ##ēt ##ti ъ ##II
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	-	-	1364	2.0	461.0	29.831378299120235	24.073768852854002	53.905147151974234	65.94203157840124	77.97891600482824	The Garden Collection by H & M
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	1364	2.0	485.6	31.507038123167156	25.267579718248722	56.774617841415875	69.40840770054024	82.0421975596646	The ar ##den Collection by H & M
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	1364	2.0	509.8	33.71803519061583	26.869877587219452	60.587912777835285	74.02285157144502	87.45779036505473	The Ga ##õ ##den Collection by HM
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	1364	2.4	538.2	35.8733137829912	28.457221596520277	64.33053537951147	78.55914617777162	92.78775697603174	The Garden Colle ##cti ##o ##ט ##n b - H ##ъ ##M
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	1364	2.6	564.4	38.14105571847507	30.052992385678294	68.19404810415337	83.22054429699251	98.24704048983166	Th ##P ##e Ga ##õ ##rden Colle ##ר ##ction by H & آ ##M
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	1364	2.2	602.6	40.440909090909095	31.740355887054072	72.18126497796317	88.0514429214902	103.92162086501725	η ##T ##he Ga ##r ##δ ##den Colle ##ct ##M ##on by ##ı H & M ##з
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	-	-	15021	1.0	221.0	32.33433193529059	28.478141196333965	60.81247313162456	75.05154372979155	89.29061432795852	nii / se ##hän / t ##ässä yli ##se / järv ##en / suv ##ip / pi ##ässä on tu ##ta / my ##lly joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	15021	1.0	231.8	33.97100059916117	29.97773101197324	63.94873161113441	78.93759711712103	93.92646262310765	ii / se ##hän / t ##ässä yli ##se / järv ##en / suv ##ip / pi ##ässä on t ##ta / my ##lly joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	15021	1.0	245.8	36.14848545369815	32.053419548618436	68.20190500231658	84.2286147766258	100.25532455093503	nii / se ##hän / t ##ässä y ~ li ##se / järv ##en / suv ##ip ##piä ##ssä n tu ##м ##a / my ##lly joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	15021	1.2	262.8	38.35857799081286	34.03753912833133	72.3961171191442	89.41488668330986	106.43365624747553	nii / se ##h ##P ##n / t ##ässä yli ##se / j ##Q ##är ##ven / suv ##ip / pi ##ässä É ##on tu ##ta / my ##ll jo ##k ##с ##a o / r ##rken ##nett ##una . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	15021	1.0	281.2	40.51063178217163	36.097973826698976	76.6086056088706	94.65759252222009	112.70657943556958	ni / о ##seh ##än / t ##ässä yli ##s 尖 / _ är ##ven / suv ##ip / pi ##ässä ##ī on ##H tu ##ta / my ##ll jog ##ka o / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	15021	1.0	294.4	42.76514213434525	38.112009663041945	80.8771517973872	99.93315662890816	118.98916146042913	n ##Ä ##i / se ##hän ##M / t ##äs ##ä y ##lse / järv ##e ##к / suv ##ip / pi ##ässä n tu ##t ##ã / α ##yl ##ly jo ##A ##ka o 釣 / ra ##л ##enne ##ttu ##na . /
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	24626	1.0	317.0	30.675140095833672	20.06383575259398	50.73897584842766	60.770893724724644	70.80281160102163	I ##ga ü ##he ##ksa ##s kroon tuli sala ##pär ##aste ##l ##t isi ##kut ##el ##t .
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	24626	1.0	322.2	31.285454397790954	20.448895329788293	51.73434972757924	61.95879739247339	72.18324505736754	I ##ga ü ##he ##ksa ##s kroon tuli sala ##pär ##aste ##l ##t sik ##ute ##l ##t .
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	24626	1.0	333.8	32.09756355071876	20.978840417702376	53.07640396842113	63.565824177272326	74.05524438612352	I ##ga ü ##h ##sk ##sas kro ##n tuli sala ##pär ##aste ##l ##t isi ##kut ##el ##t .
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	24626	1.0	348.6	32.89272313814668	21.472360869560845	54.36508400770752	65.10126444248795	75.83744487726837	I ##a ü ##he ##ksa ##s kroon tuli sala , är ##aste ##l ##t [UNK] .
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	24626	1.0	355.6	33.68733046373752	22.015088275959563	55.70241873969708	66.70996287767687	77.71750701565665	c ##I ##ga ü ##he ##ksa ##s kr ##ton tui sala ##pär ##aste ##l ##t isi ##kut ##el [UNK] t .
